Lottery,Λαχείο
Various,Ποικίλος
Bear a likeness to sb/sth,Μοιάζω με κπ/κτ
Trace,"Εντοπίζω, βρίσκω"
Take out a patent,Κατοχυρώνω πατέντα
Clasp,Κούμπωμα
Manually,Χειρωνακτικά
String,Κορδόνι
Awkwardness,Δυσχρηστία
Catch on,"Γίνομαι δημοφιλής, “πιάνω”"
Devise,Επινοώ
Hook,Γάτζιος
Attachment,Προσάρτημα
Exorbitant,"Εξωφρενικός, υπερβολικός (για χρηματική αξία)"
Interlock,"Αλληλοσυνδέω, συναρμόζω"
Scoop,“Δόντι” φερμουάρ
Slider,Ολισθητής/μηχανισμός κουμπώματος
Swoop,Απότομη κίνηση
Retailer,Έμπορος λιανικής πώλησης
Galoshes,Γαλότσες
Ahead of sb’s time,Πρωτοπόρος
Custom,Έθιμο
Die out,"Εκλείπω, αξασθενώ"
Evolve,Εξελίσσομαι
Considerably,"Σημαντικά, αρκετά"
Get along with,Τα πηγαίνω καλά με
Come along with,Συμβαδίζω με
Underprivileged,Μη προνομιούχος
Overcome,Ξεπερνώ
Crucial,"Σημαντικός, κρίσιμος"
Ensure,Εξασφαλίζω
Integration,Ενσωμάτωση
Stand up for,Υπερασπίζομαι
Bear in mind,"Έχω στο νου μου, λαμβάνω υπόψη"
One-size-fits-all,Κατάλληλος για όλες τις περιπτώσεις
Adjust,"Προσαρμόζω, -ομαι"
