Disturb,Ενοχλώ
Get together,Συναντιέμαι
By-product,Υποπροϊόν
Under the weather,Κακόκεφος
Pressurise,Συμπιέζω
Collegue,Συνάδελφος
Pollutant,Ρύπος
Checkout,Ταμείο
Drop off,Αποκοιμάμαι
Effective,Αποτελεσματικός
Turn out,Παρίσταμαι / καταλήγω
Do away from sth,"Καταργώ, ξεφορτώνομαι"
Take in,Καταλαβαίνω
Rush,Βιαστική κίνηση
Anticipate,"Προσδοκώ, περιμένω"
Settle on,Καταλήγω σε
Vanish into thin air,Εξαφανίζομαι ξαφνικά
Give sb time off,Δίνω άδεια σε κάποιον
Unanimity,Ομοφωνία
Thrilled to bit,Κατενθουσιασμένος
Counter,Πάγκος
Put pen to paper,Ξεκινώ να γράφω κάτι 
To my dismay,Προς απογοήτευση μου
Snowed under,Πνιγμένος στην δουλειά
Cane,Μπαστούνι
Grap a bit to eat,Τσιμπάω κάτι
Wine and dine sb,Πηγαίνω κάποιον για φαγητό και ποτό
Neat,Βολικός 
Swipe-light,Ακτίνα λέιζερ 
Stripy,Με γραμμές
Tag,Ετικέτα 
Dependent on/upon,Εξαρτώμενος (οικονομικά) από
Far from,Αντί για
Efficient,Αποτελεσματικός
Extract,Απόσπασμα 
Physical,Πραγματικός / Σωματικός
Annually,Ετησίως 
Figure,Αριθμός 
Indicate,Υποδεικνύω
Goods,Αγαθά
Consumer,Καταναλωτής
Around the clock,24 ώρες το 24ωρο
Additionally,Επιπλέον
Expenses,Έξοδα
e-commerce,Διαδικτυακό εμπόριο
Emission,Εκπομπή (αερίου)
Accuracy,Ακρίβεια
Actual,Πραγματικός
Inferior,Κατώτερος
Secure,Ασφαλής
Tempt,"Δελεάζω, προκαλώ"
Watch out for,Προσέχω
Potential,Πιθανός
Encounter,Αντιμετωπίζω
Interfere with,Παρεμποδίζω
Structure,Δομή
Apply an understanding,Κατανοώ
Unlike,Σε αντίθεση με
Process,Διαδικασία
Frustration,"Πρόβλημα, απογοήτευση"
Sloppy,Πρόχειρος
Play out,"Λειτουργώ, συμβαίνω"
Dominant,Κυρίαρχος
File,Αρχειοθετώ
Spatial reasoning,Αίσθηση του χώρου
All told,Συνολικά
Estimate,Υπολογίζω
Get through sth,Φέρνω εις πέρας κάτι
Provision,Πρόβλεψη
Act,Πράξη
Individualise,Εξατομικεύω
Multi-sensory,Που χρησιμοποιεί πολλές αισθήσεις
Document,Έγγραφο
Assistive,Υποστηρικτικός
Tape,Ηχογραφώ
Orally,Προφορικά
Downgrade,Υποβαθμίζω
Fine-tune,"Βελτιώνω, προσαρμόζω"
Conscientious,Ευσυνείδητος
Learning disabilty,Μαθησιακή δυσκολία
Associate with,Συσχετίζω με
Result in,Καταλήγω σε
Go through,Περνάω (δυσκολίες)
Long hours,Υπερωρίες
Occasionally,Περιστασιακά
Facility,Διευκόλυνση 
Approach,Προσέγγιση
Controversial,"Αμφιλεγόμενος, επίμαχος"
Employ,"Χρησιμοποιώ, εφαρμόζω"
Vehicle,Όχημα
Power,Παρέχω ενέργεια
Motor,"Κινητήρας, μηχανή"
Recharge,Επαναφορτίζω
Grid electricity,Δίκτυο ηλεκτρικής ενέργειας
Socket,Πρίζα
Exhaust,Εξάτμιση
Extraction,Εξαγωγή
Fossil fuel,Ορυκτό καύσιμο
Generate,Παράγω
Greenhouse gas,Αέριο θερμοκηπίου
Run on,Λειτουργώ με
Conventional,Συμβατικός
Outlet,Πρίζα
Range,"Εμβέλεια, εύρος"
Approximately,Περίπου
Subjectively,Υποκειμενικά
Superior,Ανώτερος
Instant,Στιγμιαίος
Torque,Στροφορμή
Commute,Διαδρομή
Fuel cell,Κυψέλη καυσίμου
Refuel, Ξαναβάζω καύσιμο
Convert into,Μετατρέπω σε 
By-product,Υποπροϊόν
Straightforward,"Απλός, ξεκάθαρος"
Pressurise,Συμπιέζω
Effortless,Έυκολος
Requirement,Ανάγκη
Pollutant,Ρύπος
Operation,Λειτουργία
Demolition,Κατεδάφιση
Break into,Χαλάω
Hang out with,Κάνω παρέα με
Drop off,Αποκοιμάμαι
Turn out,Παρίσταμαι / καταλήγω
Take in,Καταλαβαίνω
Anticipate,"Προσδοκώ, περιμένω"
Keep track of sth,Παρακολουθώ
Vanish into thin air,Εξαφανίζομαι ξαφνικά
Unanimity,Ομοφωνία
Pastry shop,Ζαχαροπλαστείο
Delicacy,Λιχουδιλα
Counter,Πάγκος
Somehow,Κάπως
To my dismay,Προς απογοήτευση μου
Shuffle through the crowd,Περνάω σπρώχνοντας μέσα από πλήθος
Cane,Μπαστούνι
