Concerned,Ανήσυχος
Author,Συγγραφέας
Affordable,Προσιτός (οικονομικά)
Proponent,"Υπέρμαχος, υποστηρικτής"
Destined,"Που προορίζεται (από την μοίρα), προδιαγεγραμμένος"
Publication,"Έκδοση, δημοσίευση"
Transformation,"Μεταμόρφωση, μετατροπή"
Path,Δρόμος/μονοπάτι
Field,"Τομέας, πεδίο"
Largely,"Κυρίως, κατά κύριο λόγο"
Gear towards sth,Προορίζομαι για κτ
Structural,Δομικός
Term,"Ονομάζω, περιγράφω, ορίζω"
Totality,"Σύνολο, ολότητα"
To name but a few,Για να αναφέρω κάποια παραδείγματα
Contribution to,Συνεισφορά σε 
Chiefly,"Κυρίως, κατά κύριο λόγο"
Throughout,Καθ’ όλη τη διάρκεια
Hospitalise,Νοσηλεύω
Notably,"Ιδίως, ιδιαίτερα"
Comprehension,Κατανόηση
Ardent,Ένθερμος
Varied,"Ποικίλος, διάφορος"
Abandon,Εγκαταλείπω
Free association,Ελεύθερος συνειρμός
Radical,Ριζοσπαστικός
Pseudo-science,"Ψευδοεπιστήμη (σύστημα, μέθοδος που δεν βασίζεται σε επιστημονικές αρχές)"
Concept,"Έννοια, ιδέα"
Groundbreaking,"Πρωτοποριακός, επαναστατικός"
Layer,"Στρώση, στρώμα"
Occur ,"Συμβαίνω, προκύπτω"
Argument,Επιχείρημα/διαφωνία
Bear,Αντέχω
Expel from,Αποβάλλω από
Clichéd,Στερεοτυπικός
Contradictory,"Αντικρουόμενος, αντιφατικός"
Pamphlet,Φυλλάδιο
Dispute,Αμφισβητώ
Adequately,"Επαρκώς, αρκετά"
Set off,Ξεκινώ (ταξίδι)
Brush up on,Φρεσκάρω (γνώση)
Catch up with,"Προφταίνω, καλύπτω διαφορά"
Glamorous,"Λαμπερός, εντυπωσιακός"
Campus,Πανεπιστημιούπολη
Moonbow,Σεληνιακό ουράνιο τόξο
Lunar,Σεληνιακός
Faint,Αμυδρός
Droplet,"Μικρή σταγόνα, σταγονίδιο"
Obscure,Κρύβω
Angle,Γωνία
Halo,Φωτοστέφανο
Exceptionally,Εξαιρετικά
Display,"Εμφανίζω, δείχνω"
Perceive,"Αντιλαμβάνομαι, διακρίνω"
Coastal,"Παράκτιος, παραθαλλάσιος"
Damp,Υγρός
Moisture,Υγρασία
