Refill,Ξαναγεμίζω
Visual,Οπτικός
Adapt (to),"Προσαρμόζω, -ομαι (σε)"
Medium,Μέσο
Televise,Μεταδίδω τηλεοπτικά
Misconception,"Παρανόηση, παραξήγηση"
Watchable,Που βλέπεται ευχάριστα
Clarify,"Διευκρινίζω, επεξηγώ"
Plot,"Σενάριο, πλοκή"
Showing,Προβολή
Affair,Υπόθεση
Feature,Παρουσιάζω
Cue,"Υπαινιγμός, νύξη"
Effect,Εφέ
Portray,Υποδύομαι
Subtly,Επιδέξια
Overact,Υπερβάλλω στην ερμηνεία
Seasoned,Έμπειρος
Genre,Είδος
Shrink,"Συρρικνώνω, -ομαι"
Frame,"Καρέ, στατικό πλάνο"
Projection,Προβολή
Jerky,"Σπασμωδικός, ακανόνιστος"
Accelerate,Επιταχύνω
Unstable,Ασταθής
Flammable,Εύφλεκτος
Nitrate,Νιτρικό (χημική ουσία)
Require,"Απαιτώ, χρειάζομαι"
Preservation,Συντήρηση
Decompose,Αποσυντίθεμαι
Exaggerated,Υπερβολικός
Utilise,Χρησιμοποιώ
Compatible,Συμβατός
Accidentally,"Τυχαία, συμπωματικά"
Renowned,"Φημισμένος, αναγνωρισμένος"
Version,Εκδοχή
Flavour,Γεύση
Sth defies description,Κτ δεν περιγράφεται (εξαιρετικό)
Complexity,Πολυπλοκότητα
Oak,Βελανιδιά
Ageing,Ωρίμανση (για κρασί) / γήρανση
Barrel,Βαρέλι
Contribute,"Δίνω, προσφέρω, συνεισφέρω"
Cinnamon,Κανέλα
Keen,"Παθιασμένος, ενθουσιώδης"
Yield,Σοδειά
Spectrum,"Φάσμα, εύρος"
Make into sth,Μετατρέπω σε κτ
Relative,Σχετικός
Harvest,"Συγκομιδή, σοδειά / μαζεύω σοδειά"
Financial,Οικονομικός
Impact,"Αντίκτυπος, επίπτωση"
Distinct,"Ευδιάκριτος, ξεχωριστός"
Refreshing,Αναζωογονητικός
Crisp,Όξινος
Dry,Ξηρός
Blossom,"Άνθος, λουλούδι"
Retain,Διατηρώ
Stainless steel,Ανοξείδωτο ατσάλι
Detract from sth,"Αφαιρώ, μειώνω (αξία) σε κτ"
Winery,Οινοποιείο
Contrasting,"Αντίθετος, πολύ διαφορετικός"
Sharp,Έντονος (για γεύση)
The former,Ο πρώτος (από δύο)
The latter ,"Ο δεύτερος, τελευταίος (από δύο)"
Fruitiness,Φρουτώδης γεύση
Guidance,Καθοδήγηση
Be familiar with,Εξοικειώνομαι με 
Assistance ,Βοήθεια
Hesitate,Διαστάζω
Intensive,Εντατικός
Spill,Χύνω (κατά λάθος)
Set off,Ενεργοποιώ
Put on,Φορώ
Break up,"Διαλύω σχέση, χωρίζω"
Modest,"Σεμνός, ταπεινός"
Scholarship,Υποτροφία
Outstanding,"Εξαιρετικός, έξοχος"
Meticulously,Σχολαστικά
Extraordinary,"Ιδιαίτερος, ξεχωριστός"
Innocence ,Αθωότητα
Bench,Παγκάκι
Watchful,"Προσεκτικός, άγρυπνος"
Condescending,Υπεροπτικός
Individuality,Ατομικότητα
Uniqueness,Μοναδικότητα
