Exhausted ,Εξαντλημένος
Force,Εξαναγκάζω
Landscape,"Περιοχή, τοπίο"
Occupy,Καταλαμβάνω
Unbearable ,Αφόρητος
Placebo,Εικονικό φάρμακο
Subject,"Συμμετέχων σε πείραμα, υποκείμενο"
Medical trial ,"Ιατρική δοκιμή, πείραμα "
Inactive,Αδρανής
Ineffective,Μη αποτελεσματικός
Substance ,Ουσία
Document,"Καταγράφω, τεκμηριώνω"
Reverse,"Αντίστροφος, αντίθετος"
Dummy,Ψεύτικος
Stimulus,Ερέθισμα
Psychogenic ,Ψυχογενής
Occur,"Εμφανίζομαι, συμβαίνω"
Component,Συστατικό στοιχείο
Assume,"Υποθέτω, εικάζω"
Drug ,Φάρμακο
Physiological,Σχετικός με την φυσιολογία
Impotent,"Ανίσχυρος, αδύναμος"
Rash ,Εξάνθημα
Complaint,Πάθηση
Ills,"Συμφορές, δεινά"
Intolerance,Δυσανεξία
Intense ,Έντονος
Wind farm,Αιολική φάρμα
Restrict to,Περιορίζω σε 
Reassurance,Καθησύχαση
Recovery,Ανάρρωση
Reveal ,Αποκαλύπτω
Side effect,Παρενέργεια
Mere,Απλός
Profound,"Σημαντικός, ουσιαστικός"
Viral,Που εξαπλώνεται γρήγορα
Brace yourself for sth,Προετοιμάσου για κτ δυσάρεστο
Agent,Παράγοντας
Detrimental,"Επιβλαβής, καταστροφικός"
Highlight,Επισημαίνω
Defect,"Ελάττωμα, ατέλεια"
Companion,"Σύντροφος, φίλος"
Attached to,Προσκολλημένος σε 
Hold,Διοργανώνω 
Funeal,Κηδεία
Irrational,Παράλογος
Tendency,Τάση
Assign,Αποδίδω
Living being,Έμβιο ον
Eagerness,Επιθυμία
Exploit,"Εκμεταλλεύομαι, αξιοποιώ"
Movie quote,Ατάκα από ταινία
Attribute ,Χαρακτηριστικό
Work sth out ,"Καταλαβαίνω, αντιλαμβάνομαι κτ"
Concern,Ανυσυχία
Legal,Νόμιμος
Moral,Ηθικός
Self-aware,Που έχει αυτεπίγνωση
Grant,"Παρέχω, χορηγώ"
Procreate,Τεκνοποιώ
Reproduce,"Αναπαράγω, -ομαι"
Outnumber ,Ξεπερνώ σε αριθμό
Outvote ,Ξεπερνώ σε ψήφους
Collapse ,"Προκαλώ κατάρρευση, καταστρέφω"
Resentment ,"Πικρία, μίσος, κακία"
Rise up ,Εξεγείρομαι
Ultimate,"Απόλυτος, υπέρτατος"
Inherently,Έμφυτα
Fit in ,Ταιράζω
Obsolete,"Ξεπερασμένος, απαραχαιωμένος"
Quaint,Γραφικός
Standpoint,Άποψη
Aptitude ,"Κλίση, έφεση"
Qualified ,Καταρτισμένος
Deadline,Προθεσμία
Restore,"Αποκαθιστώ, επαναφέρω κτ σε καλή κατάσταση"
Value,Εκτιμώ
Rehearse,Κάνω πρόβα
Turn in,Πηγαίνω για ύπνο
Cut sth off,"Αποκόπτω, κόβω κτ"
Self-centred,Εγωκεντρικός
As well as ,Εκτός του ότι
Toddler,Νήπιο
Observe ,Παρατηρώ
Gentle,"Ευγενικός, καλόκαρδος"
Comb,Χτενίζω
Germ,Μικρόβιο
Immune system ,Ανοσοποιητικό σύστημα
Valnerable,Ευάλωτος
