Slim,"Αδύνατος, λεπτός"
Linguist,Γλωσσολόγος
Scholar ,"Ακαδημαϊκός, πανεπιστημιακός"
Advent,(Προ)έλευση
Fossil,Απολίθωμα
Remains,Ερείπια / απομεινάρια
Contemporary,Σύγχρονος
Diversity,Ποικιλία
Extinct,Εξαφανισμένος
Intact,Άθικτος
Absence,Απουσία
Gene,Γονίδιο
Mining,Εξόρυξη
Mineral,"Ορυκτό, μετάλλευμα "
Modify,"Τροποποιώ, μεταβάλλω"
Creature,"Πλάσμα, ον"
Devise ,Επινοώ
Coordinate,"Συντονίζομαι, συνεργάζομαι"
Growl,"Γρύλισμα, βρυχηθμός"
Screech,"Οξεία κραυγή, τσιρίδα"
Click,"Σύντομος και απότομος ήχος, κρότος"
Ingenious,"Μεγαλοφυής, πανέξυπνος"
Offspring ,Απόγονος
Rigid,Με αυστηρή δομή
Precise ,Ακριβής
Fashion ,Τρόπος
Aboriginal,Ιθαγενής
Reimburse, Αποζημιώνω
Slight,"Μικρός, ασήμαντος"
Translate,Μεταφράζω
Convey,"Μεταφέρω, εκφράζω (μήνυμα)"
Straightforward,"Σαφής, ξεκάθαρος"
Passage,Πέρασμα
Evolution,Εξέλιξη
Die out,"Εκλείπω, εξαφανίζομαι "
Illustrate ,"Απεικονίζω, διευκρινίζω"
Elanorate,"Λεπτομερής, περίπλοκος"
Overlook,"Παραβλέπω, αγνοώ"
Emerge,"Ξεπροβάλλω, αναδύομαι "
Prevailing ,"Κυρίαρχος, επικρατέστερος"
In the mid,Στα μέσα
Slow ,Επιβραδύνω
Tempo,Ρυθμός
Optimism,Αιδιοδοξία
Customarily,Συνήθως
Employ,"Χρησιμοποιώ, εφαρμόζω"
Scraper ,Ξύστρα (μουσικό όργανο)
Corrugated,"Αυλακωτός, με πτυχές"
Percussion,Κρουστό (μουσικό όργανο)
Rub,Τρίβω
Stick ,Ξύλινη μπαγκέτα
Accompaniment ,Συνοδεία
Lyrics,Στίχοι (τραγουδιού)
Rejection,Απόρριψη
Injustice ,Αδικία
Movement,Κίνημα
Relocation,Μετεγκατάσταση
Disperse,"Διασκορπίζω, -ομαι"
Upbeat,Χαρούμενος
Spread,Εξαπλώνομαι
Condemn,Καταδικάζω
Facilitate,Διευκολύνω
At the turn of the century ,Στις αρχές του αιώνα
Folk,Παραδοσιακός
Ragtime,Αφροαμερικάνικη τζαζ μουσική
Vocal ,Φωνητικός
Manifest,"Εκδηλώνω, εκφράζω "
Universally,Παγκοσμίως
Comprehensible ,Κατανοητός
Unite,Ενώνω
Divide,"Διαχωρισμός, διαφορά"
Tune,Μελωδία
Improvisation,Αυτοσχεδιασμός
Without precedent ,Χωρίς προηγούμενο
Appeal,Απήχηση
Draw sth from,"Προέρχομαι, παίρνω (ιδέες, έμπνευση) από"
Choir,Χορωδία
In custody,Υπό κράτηση
Put off,Αναβάλλω
Call sth off,Ακυρώνω κτ 
Take off,Απογειώνομαι
Mainstream ,"Κυρίαρχος, επικρατών"
Inject sth,Εισάγω κτ με ένεση
Pigment,Χρωστική ουσία
Target ,Στοχεύω
Session,Συνεδρία
